Start,Finish,Steps (count)
26-Jun-2018 05:00,26-Jun-2018 06:00,0.0
26-Jun-2018 06:00,26-Jun-2018 07:00,0.0
26-Jun-2018 07:00,26-Jun-2018 08:00,0.0
26-Jun-2018 08:00,26-Jun-2018 09:00,0.0
26-Jun-2018 09:00,26-Jun-2018 10:00,159.0
26-Jun-2018 10:00,26-Jun-2018 11:00,984.0
26-Jun-2018 11:00,26-Jun-2018 12:00,0.0
26-Jun-2018 12:00,26-Jun-2018 13:00,0.0
26-Jun-2018 13:00,26-Jun-2018 14:00,842.0
26-Jun-2018 14:00,26-Jun-2018 15:00,16.0
26-Jun-2018 15:00,26-Jun-2018 16:00,0.0
26-Jun-2018 16:00,26-Jun-2018 17:00,0.0
26-Jun-2018 17:00,26-Jun-2018 18:00,0.0
26-Jun-2018 18:00,26-Jun-2018 19:00,1074.0
26-Jun-2018 19:00,26-Jun-2018 20:00,145.0
26-Jun-2018 20:00,26-Jun-2018 21:00,0.0
26-Jun-2018 21:00,26-Jun-2018 22:00,0.0
26-Jun-2018 22:00,26-Jun-2018 23:00,4.0
26-Jun-2018 23:00,27-Jun-2018 00:00,33.0
27-Jun-2018 00:00,27-Jun-2018 01:00,0.0
27-Jun-2018 01:00,27-Jun-2018 02:00,0.0
27-Jun-2018 02:00,27-Jun-2018 03:00,0.0
27-Jun-2018 03:00,27-Jun-2018 04:00,0.0
27-Jun-2018 04:00,27-Jun-2018 05:00,0.0
27-Jun-2018 05:00,27-Jun-2018 06:00,0.0
27-Jun-2018 06:00,27-Jun-2018 07:00,171.0
27-Jun-2018 07:00,27-Jun-2018 08:00,531.0
27-Jun-2018 08:00,27-Jun-2018 09:00,321.59943856227
27-Jun-2018 09:00,27-Jun-2018 10:00,404.40056143773
27-Jun-2018 10:00,27-Jun-2018 11:00,947.0
27-Jun-2018 11:00,27-Jun-2018 12:00,0.0
27-Jun-2018 12:00,27-Jun-2018 13:00,0.0
27-Jun-2018 13:00,27-Jun-2018 14:00,1220.0
27-Jun-2018 14:00,27-Jun-2018 15:00,0.0
27-Jun-2018 15:00,27-Jun-2018 16:00,0.0
27-Jun-2018 16:00,27-Jun-2018 17:00,0.0
27-Jun-2018 17:00,27-Jun-2018 18:00,1037.0
27-Jun-2018 18:00,27-Jun-2018 19:00,343.0
27-Jun-2018 19:00,27-Jun-2018 20:00,433.474064776088
27-Jun-2018 20:00,27-Jun-2018 21:00,561.525935223912
27-Jun-2018 21:00,27-Jun-2018 22:00,1223.08037192633
27-Jun-2018 22:00,27-Jun-2018 23:00,89.9196280736688
27-Jun-2018 23:00,28-Jun-2018 00:00,0.0
28-Jun-2018 00:00,28-Jun-2018 01:00,25.0
28-Jun-2018 01:00,28-Jun-2018 02:00,0.0
28-Jun-2018 02:00,28-Jun-2018 03:00,0.0
28-Jun-2018 03:00,28-Jun-2018 04:00,0.0
28-Jun-2018 04:00,28-Jun-2018 05:00,0.0
28-Jun-2018 05:00,28-Jun-2018 06:00,0.0
28-Jun-2018 06:00,28-Jun-2018 07:00,0.0
28-Jun-2018 07:00,28-Jun-2018 08:00,0.0
28-Jun-2018 08:00,28-Jun-2018 09:00,0.0
28-Jun-2018 09:00,28-Jun-2018 10:00,158.0
28-Jun-2018 10:00,28-Jun-2018 11:00,1213.0
28-Jun-2018 11:00,28-Jun-2018 12:00,15.0
28-Jun-2018 12:00,28-Jun-2018 13:00,0.0
28-Jun-2018 13:00,28-Jun-2018 14:00,14.2109540363641
28-Jun-2018 14:00,28-Jun-2018 15:00,815.789045963636
28-Jun-2018 15:00,28-Jun-2018 16:00,922.0
28-Jun-2018 16:00,28-Jun-2018 17:00,169.0
28-Jun-2018 17:00,28-Jun-2018 18:00,0.0
28-Jun-2018 18:00,28-Jun-2018 19:00,12.0
28-Jun-2018 19:00,28-Jun-2018 20:00,0.0
28-Jun-2018 20:00,28-Jun-2018 21:00,17.0
28-Jun-2018 21:00,28-Jun-2018 22:00,0.0
28-Jun-2018 22:00,28-Jun-2018 23:00,0.0
28-Jun-2018 23:00,29-Jun-2018 00:00,0.0
29-Jun-2018 00:00,29-Jun-2018 01:00,0.0
29-Jun-2018 01:00,29-Jun-2018 02:00,0.0
29-Jun-2018 02:00,29-Jun-2018 03:00,0.0
29-Jun-2018 03:00,29-Jun-2018 04:00,0.0
29-Jun-2018 04:00,29-Jun-2018 05:00,0.0
29-Jun-2018 05:00,29-Jun-2018 06:00,0.0
29-Jun-2018 06:00,29-Jun-2018 07:00,0.0
29-Jun-2018 07:00,29-Jun-2018 08:00,185.0
29-Jun-2018 08:00,29-Jun-2018 09:00,972.896042906018
